id,stock_name,value
73,"Westell Technologies, Inc.",$535.76
74,"Eyegate Pharmaceuticals, Inc.",$605.39
75,Blackrock Florida Municipal 2020 Term Trust,$842.80
76,Capital Product Partners L.P.,$76.58
77,uniQure N.V.,$710.77
78,FirstEnergy Corporation,$814.88
79,"Dorman Products, Inc.",$491.89
80,"Kite Pharma, Inc.",$435.90
81,"FLIR Systems, Inc.",$837.36
82,"Suburban Propane Partners, L.P.",$272.94
83,Calamos Convertible Opportunities and Income Fund,$214.77
84,DTE Energy Company,$271.52
85,ProShares UltraPro Short QQQ,$420.94
86,EP Energy Corporation,$903.91
87,First Commonwealth Financial Corporation,$368.45
88,CHS Inc,$889.03
89,"Fitbit, Inc.",$113.57
90,STRATS Trust,$311.89
91,Horizons NASDAQ-100 Covered Call ETF,$800.76
92,LendingClub Corporation,$364.45
93,DHX Media Ltd.,$671.75
94,Westrock Company,$962.31
95,The9 Limited,$808.70
96,Mid Penn Bancorp,$798.24
97,Arthur J. Gallagher & Co.,$630.56
98,L.S. Starrett Company (The),$319.03
99,Ameren Corporation,$69.36
100,"Owens & Minor, Inc.",$173.94
101,CGG,$831.24
102,Universal Health Realty Income Trust,$681.35
103,Shire plc,$848.91
104,The Long-Term Care ETF,$747.39
105,Siebert Financial Corp.,$634.79
106,Zynga Inc.,$450.90
107,Sensata Technologies Holding N.V.,$828.12
108,"FRP Holdings, Inc.",$52.73
109,First Trust United Kingdom AlphaDEX Fund,$9.25
110,Duff & Phelps Global Utility Income Fund Inc.,$189.12
111,Apollo Commercial Real Estate Finance,$175.50
112,"Community Health Systems, Inc.",$139.04
113,"Yum China Holdings, Inc.",$875.04
114,Rayonier Inc.,$95.03
115,State Street Corporation,$133.94
116,"Equity Lifestyle Properties, Inc.",$766.11
117,"LM Funding America, Inc.",$97.60
118,"BGC Partners, Inc.",$548.59
119,PowerShares DWA Healthcare Momentum Portfolio,$74.73
120,Sumitomo Mitsui Financial Group Inc,$530.55
121,Gabelli Dividend,$822.97
122,"Liberty TripAdvisor Holdings, Inc.",$457.23
123,"Catalyst Pharmaceuticals, Inc.",$435.09
124,Legg Mason Developed EX-US Diversified Core ETF,$488.87
125,Wells Fargo & Company,$662.37
126,Alliance Data Systems Corporation,$524.89
127,Seritage Growth Properties,$793.37
128,PACCAR Inc.,$61.67
129,"Boot Barn Holdings, Inc.",$912.83
130,"Allied Motion Technologies, Inc.",$907.25
131,Eaton Vance Enhance Equity Income Fund,$54.25
132,BT Group plc,$30.10
133,Constellium N.V.,$410.13
134,"SunTrust Banks, Inc.",$841.82
135,"Discovery Communications, Inc.",$745.72
136,"Viking Therapeutics, Inc.",$99.48
137,"Coffee Holding Co., Inc.",$643.50
138,Atkore International Group Inc.,$242.18
139,Marriott International,$761.85
140,"Comfort Systems USA, Inc.",$299.79
141,"General Mills, Inc.",$69.22
142,Allergan plc.,$135.50
143,Molina Healthcare Inc,$160.41
144,Blackrock Florida Municipal 2020 Term Trust,$17.48
145,Calamos Global Total Return Fund,$238.57
146,Medley LLC,$695.80
147,"Global Net Lease, Inc.",$103.76
148,CymaBay Therapeutics Inc.,$790.02
149,Nuveen Dow 30SM Dynamic Overwrite Fund,$957.77
150,"Wellesley Bancorp, Inc.",$889.68
151,"Sajan, Inc.",$667.99
152,Barington/Hilco Acquisition Corp.,$102.66
153,Blue Bird Corporation,$33.96
154,"Hudson Global, Inc.",$985.00
155,Vanguard Russell 1000 Growth ETF,$549.94
156,Diana Shipping inc.,$457.27
157,Midatech Pharma PLC,$480.90
158,W.R. Berkley Corporation,$169.11
159,MFS Special Value Trust,$673.08
160,Ashford Hospitality Trust Inc,$616.50
161,"Editas Medicine, Inc.",$971.24
162,Ideal Power Inc.,$759.14
163,OFG Bancorp,$0.15
164,PPL Corporation,$305.14
165,"Sorrento Therapeutics, Inc.",$862.08
166,Torchmark Corporation,$798.66
167,"OncoMed Pharmaceuticals, Inc.",$534.66
168,Oxford Immunotec Global PLC,$803.05
169,iPath US Treasury 10-year Bear ETN,$81.98
170,Southwestern Energy Company,$604.31
171,F.N.B. Corporation,$396.86
172,Chesapeake Utilities Corporation,$424.12
173,"G1 Therapeutics, Inc.",$426.38
174,"Asia Tigers Fund, Inc. (The)",$106.33
175,"SunTrust Banks, Inc.",$38.17
176,Tecogen Inc.,$12.48
177,"Civista Bancshares, Inc. ",$281.34
178,"PolarityTE, Inc.",$482.28
179,Blackstone / GSO Strategic Credit Fund,$371.70
180,"Kforce, Inc.",$611.89
181,Forward Pharma A/S,$596.02
182,Whirlpool Corporation,$501.66
183,Invesco Mortgage Capital Inc.,$298.46
184,"ESSA Bancorp, Inc.",$764.60
185,BlackRock New York Investment Quality Municipal Trust Inc. (Th,$283.27
186,"KemPharm, Inc.",$71.07
187,Norbord Inc.,$466.10
188,Qiagen N.V.,$688.38
189,DMC Global Inc.,$28.76
190,"Civitas Solutions, Inc.",$7.96
191,The AES Corporation,$835.20
192,"Lakeland Industries, Inc.",$248.31
193,"Blackrock MuniYield California Insured Fund, Inc.",$762.97
194,Albemarle Corporation,$488.92
195,Cemtrex Inc.,$562.14
196,Michael Kors Holdings Limited,$932.51
197,Axis Capital Holdings Limited,$569.95
198,ENDRA Life Sciences Inc.,$822.99
199,Equity Commonwealth,$956.10
200,"Donegal Group, Inc.",$280.68
